伊敷6丁目3
西佐多町295,31.7378962,130.5205866
武1丁目
薬師2丁目西田小
山田町2275,31.5640953,130.4865133
上竜尾町2,31.6091084,130.5510846
宇宿町8丁目
東谷山7丁目　
黎明館,31.5985585,130.5522445
同好会（草牟田2丁目）
城山2丁目
城山1丁目
星ヶ峯団地第3公園,31.5790215,130.4570913
小野3丁目
桜島横山町沖小島2,31.5431623,130.6048802
西郷南洲顕彰館,31.6059114,130.5556763
考古歴史館,31.5110281,130.4973961
伊敷7丁目5156
五ヶ別府町476,31.5701919,130.4721445
下福元町3816,31.4976781,130.4316296
伊敷2丁目18
永吉1丁目
浜町7,31.5693903,130.4741239
清水町外,31.6072835,130.5665622
玉里町27番1号
谷山中央4丁目158
郡元2丁目
郡元1丁目21
同好会（上之園町）,31.5810304,130.5441293
市内一円,31.5228219,130.3930135
草牟田1丁目
草牟田2丁目
