黎明館
喜入生見町
吉野町
本港新町
尚古集成館
城山町
伊敷2丁目18
宮之浦町
池之上町
玉里町
市内一円
浜町7
花尾町
本名町
永吉1丁目
鹿児島市立美術館
南林寺町
東千石町
西郷南洲顕彰館
郡元2丁目
鹿児島女子短期大学
同好会（草牟田2丁目）
同好会（上之園町）
山田町2275
川上町
入佐町
中山町
本城町
城山町
平之町
上竜尾町2
城山町
川田町
喜入町
清水町外
鹿児島市
黒神町
西佐多町
鹿児島県立博物館
東桜島町
玉里町27番1号
城山町4
城山2丁目
松原町
考古歴史館
伊敷7丁目5156
薬師2丁目西田小
武1丁目
宇宿町8丁目
五ヶ別府町476
星ヶ峯団地第3公園
山田町
東谷山7丁目　
谷山中央4丁目158
伊敷6丁目3
東佐多町
春山町
郡山町
宮之浦町
桜島横山町
桜島藤野町
喜入中名町
有屋田町
山田町
草牟田1丁目
下福元町
桜島小池町
西俣町
東俣町
城山町
城山町
天保山町24
城山1丁目
清水町
小野3丁目
西佐多町295
桜島藤野町
桜島横山町沖小島2
桜島武町
入佐町
上谷口町
石谷町
喜入一倉町
下福元町3816
喜入町
城山町
山下町
草牟田2丁目
郡元1丁目21
上竜尾町
上之園町
加治屋町
春日町
